County Code,District Code,School Code,School Name,Address1,Address2,City,State,Zip,Mail Addr1,Mail Addr2,Mail City,Mail State,Mail Zip,Phone,Contact Name,Contact Title,Contact Email,Profit,Pub. Sch. Dist.
"=""14""","=""0342""","=""14D""",(Ycs) Independence High School,15 SMALLEY TERRACE,,IRVINGTON,NJ,"=""07111""",15 Smalley Terrace,,IRVINGTON,NJ,"=""07111""","=""(973)844-6133x000""",Keith Edghill,Principal,kedghill@ycs.org,NOT-FOR-PROFIT,"=""2330"""
"=""26""","=""0776""","=""13H""",A Child's Place,1409 WEST FRONT STREET,,LINCROFT,NJ,"=""07738""",1409 WEST FRONT SCHOOL,,LINCROFT,NJ,"=""07738""","=""(732)747-0141""",Elaine Athanasiou,School Administrator,elaine@achildsplaceschool.com,FOR-PROFIT,"=""3160"""
"=""26""","=""0743""","=""83G""",Abc Spectrum Preschool,78 Millhurst RD,,MANALAPAN,NJ,"=""07726""",PO Box 41,,TENNENT,NJ,"=""07763""","=""7329957712""",Catherine G Ahlers," Director",abcdcathy@verizon.net,FOR-PROFIT,"=""2920"""
"=""28""","=""1337""","=""00L""",Abc's Of Learning,74 Jacksonville Rd,,Towaco,NJ,"=""07082""",74 Jacksonville Road,,Towaco,NJ,"=""07082""","=""(973)334-9900""",Allyson Marzan,Director,info@abcsoflearning.org,FOR-PROFIT,"=""3340"""
"=""04""","=""0038""","=""36A""",Ability School Inc,75 KNICKERBOCKER ROAD,,ENGLEWOOD,NJ,"=""07631""",75 KNICKERBOCKER ROAD,,ENGLEWOOD,NJ,"=""07631""","=""(201)871-8808""",JOAN MARRAZZO,HEADMISTRESS,jmarrazzo@abilityschoolnj.org,NOT-FOR-PROFIT,"=""1370"""
"=""14""","=""0397""","=""65D""",Abundant Life Academy,390 WASHINGTON AVENUE,,NUTLEY,NJ,"=""07110""",390 WASHINGTON AVENUE,,NUTLEY,NJ,"=""07110""","=""(973)667-9700""",Rev. John Kuebler,Superintendent,mrkuebler.ala@gmail.com,NOT-FOR-PROFIT,"=""3750"""
"=""04""","=""0049""","=""46A""",Academy  Of Our Lady Of Grace,400 KAMENA STREET,,FAIRVIEW,NJ,"=""07022""",400 Kamena Street,,FAIRVIEW,NJ,"=""07022""","=""(201)945-8300""",Filomena D'Amico,Principal,damico@aolgfairview.org,NOT-FOR-PROFIT,"=""1470"""
"=""28""","=""0889""","=""19I""",Academy For Children Inc,215 BOULEVARD,,MOUNTAIN LAKES,NJ,"=""07046""",215 BOULEVARD,,MOUNTAIN LAKES,NJ,"=""07046""","=""(973)263-1818""",Marjorie Mccabe-Peacock,"Founder, CEO, President, Sponsor, Director",theacademy@optonline.net,NOT-FOR-PROFIT,"=""3460"""
"=""26""","=""1411""","=""21A""","Academy NJ, The",101 Crawford's Corner Rd.,,Holmdel,NJ,"=""07733""",PO Box 441,,Lincroft,NJ,"=""07733""","=""(732)856-8077""",Ann Gradman,Founder,ann.gradman@theacademynj.org,FOR-PROFIT,"=""2230"""
"=""04""","=""2001""","=""14P""","Academy of Greatness & Excellence ",114 Mount Vernon St.,,Ridgefield Park,NJ,"=""07660""",114 Mount Vernon St.,,Ridgefield Park,NJ,"=""07660""","=""(201)229-0470 x4""",Iman ElDessouky,Principal,principal@agenj.com,NOT-FOR-PROFIT,"=""4380"""
"=""04""","=""1766""","=""04E""",Academy of Greatness and Excellence,441 North Street,,TEANECK,NJ,"=""07666""",441 North Street,,Teaneck,NJ,"=""07666""","=""(201)836-2555""",Iman F ElDessouky,PRINCIPAL,principal@agenj.com,NOT-FOR-PROFIT,"=""5150"""
"=""04""","=""0032""","=""30A""",Academy Of Holy Angels,315 HILLSIDE AVENUE,,DEMAREST,NJ,"=""07627""",315 HILLSIDE AVENUE,,DEMAREST,NJ,"=""07627""","=""(201)768-7822 x202""",Jean Miller,Principal,jmiller@holyangels.org,NOT-FOR-PROFIT,"=""1070"""
"=""04""","=""0058""","=""54A""",Academy Of Our Lady,180 RODNEY STREET,,GLEN ROCK,NJ,"=""07452""",180 Rodney Street,,GLEN ROCK,NJ,"=""07452""","=""(201)445-0622""",Katharine Clemente,Interim Principal,kclemente@academyofourlady.org,NOT-FOR-PROFIT,"=""1760"""
"=""04""","=""0158""","=""46B""",Academy Of Our Lady Of Mount Carmel,10 COUNTY ROAD,,TENAFLY,NJ,"=""07670""",10 County Road,,TENAFLY,NJ,"=""07670""","=""(201)567-6491""",Barbara Verdonck,Principal,bverdonck@academyolmc.org,NOT-FOR-PROFIT,"=""5160"""
